45|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8515|2020010803|08/01/2020|09:10|08/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|08/01/2020|17:05|08/01/2020|21:25||5|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|08/01/2020|09:10|08/01/2020|03:15|08/01/2020|03:15||07/01/2020|07:30|0801|2|F1||
46|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8515|2020010803|08/01/2020|09:10|08/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|08/01/2020|17:05|08/01/2020|21:25||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|08/01/2020|09:10|08/01/2020|03:15|08/01/2020|03:15||07/01/2020|07:30|0801|2|F1||
47|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8515|2020010803|08/01/2020|09:10|08/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|08/01/2020|17:05|08/01/2020|21:25||7|86100-0K103-00|RECEIVER ASSY  RADIO & NAVIGATION|J280|SA.R -  14|4|4|1||F|08/01/2020|09:10|08/01/2020|03:15|08/01/2020|03:15||07/01/2020|07:30|0801|2|F1||
48|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9597|2020010803|08/01/2020|03:29|08/01/2020|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|08/01/2020|08:30|08/01/2020|12:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|24|6||F|08/01/2020|03:29|07/01/2020|23:19|07/01/2020|23:19||07/01/2020|07:30|0801|2|F1||
49|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9597|2020010803|08/01/2020|03:29|08/01/2020|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|08/01/2020|08:30|08/01/2020|12:30||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|08/01/2020|03:29|07/01/2020|23:19|07/01/2020|23:19||07/01/2020|07:30|0801|2|F1||
50|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9597|2020010803|08/01/2020|03:29|08/01/2020|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|08/01/2020|08:30|08/01/2020|12:30||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|08/01/2020|03:29|07/01/2020|23:19|07/01/2020|23:19||07/01/2020|07:30|0801|2|F1||
51|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9597|2020010803|08/01/2020|03:29|08/01/2020|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|08/01/2020|08:30|08/01/2020|12:30||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|08/01/2020|03:29|07/01/2020|23:19|07/01/2020|23:19||07/01/2020|07:30|0801|2|F1||
52|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9597|2020010803|08/01/2020|03:29|08/01/2020|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|08/01/2020|08:30|08/01/2020|12:30||5|86100-0K145-00|RECEIVER ASSY RADIO & NAVIGATION|F790|IP1  - A08|4|8|2||F|08/01/2020|03:29|07/01/2020|23:19|07/01/2020|23:19||07/01/2020|07:30|0801|2|F1||
53|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8516|2020010804|08/01/2020|09:10|08/01/2020|17:05|PPA1|22|CD16|01|||||||||||||PPA1-22|722F-P-P1|08/01/2020|17:05|09/01/2020|02:25||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|40|10||F|08/01/2020|09:10|08/01/2020|03:15|08/01/2020|03:15||07/01/2020|07:30|0801|2|F1||
54|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8516|2020010804|08/01/2020|09:10|08/01/2020|17:05|PPA1|22|CD16|01|||||||||||||PPA1-22|722F-P-P1|08/01/2020|17:05|09/01/2020|02:25||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|8|2||F|08/01/2020|09:10|08/01/2020|03:15|08/01/2020|03:15||07/01/2020|07:30|0801|2|F1||
55|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8516|2020010804|08/01/2020|09:10|08/01/2020|17:05|PPA1|22|CD16|01|||||||||||||PPA1-22|722F-P-P1|08/01/2020|17:05|09/01/2020|02:25||3|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|8|2||F|08/01/2020|09:10|08/01/2020|03:15|08/01/2020|03:15||07/01/2020|07:30|0801|2|F1||
56|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8516|2020010804|08/01/2020|09:10|08/01/2020|17:05|PPA1|22|CD16|01|||||||||||||PPA1-22|722F-P-P1|08/01/2020|17:05|09/01/2020|02:25||4|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|8|2||F|08/01/2020|09:10|08/01/2020|03:15|08/01/2020|03:15||07/01/2020|07:30|0801|2|F1||
