35|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|C|GATEWAY#2|C5|1|1C FTTLAC5A0010|2016111801|17/11/2016|23:20|18/11/2016|08:15|KD01|01|KD01|01|||||||||||||||||18/11/2016|08:15||2|86140-02550-00|RECEIVER ASSY  RADIO & DISPLAY|T502|DLR  -  08|3|21|7|||17/11/2016|23:20|17/11/2016|18:27|17/11/2016|18:27||17/11/2016|07:30|1811||||
36|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4385|2016111801|17/11/2016|19:45|18/11/2016|03:00|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|18/11/2016|03:00|18/11/2016|08:56||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|8|2||3|17/11/2016|19:45|17/11/2016|13:50|17/11/2016|13:50||17/11/2016|07:30|1811||||
37|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4385|2016111801|17/11/2016|19:45|18/11/2016|03:00|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|18/11/2016|03:00|18/11/2016|08:56||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|32|8||3|17/11/2016|19:45|17/11/2016|13:50|17/11/2016|13:50||17/11/2016|07:30|1811||||
38|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4385|2016111801|17/11/2016|19:45|18/11/2016|03:00|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|18/11/2016|03:00|18/11/2016|08:56||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1||3|17/11/2016|19:45|17/11/2016|13:50|17/11/2016|13:50||17/11/2016|07:30|1811||||
39|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4385|2016111801|17/11/2016|19:45|18/11/2016|03:00|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|18/11/2016|03:00|18/11/2016|08:56||4|86120-0KA41-00|RECEIVER ASSY  RADIO|K049|A4.SA- R11|4|4|1||3|17/11/2016|19:45|17/11/2016|13:50|17/11/2016|13:50||17/11/2016|07:30|1811||||
40|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4385|2016111801|17/11/2016|19:45|18/11/2016|03:00|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|18/11/2016|03:00|18/11/2016|08:56||5|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1||3|17/11/2016|19:45|17/11/2016|13:50|17/11/2016|13:50||17/11/2016|07:30|1811||||
41|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4385|2016111801|17/11/2016|19:45|18/11/2016|03:00|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|18/11/2016|03:00|18/11/2016|08:56||6|86140-0K570-00|RECEIVER ASSY  RADIO & DISPLAY|H713|A4.SA- R11|4|4|1||3|17/11/2016|19:45|17/11/2016|13:50|17/11/2016|13:50||17/11/2016|07:30|1811||||
42|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4385|2016111801|17/11/2016|19:45|18/11/2016|03:00|PPA1|04|CD16|02|||||||||||||PPA1-04|722F-P-P1|18/11/2016|03:00|18/11/2016|08:56||7|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1||3|17/11/2016|19:45|17/11/2016|13:50|17/11/2016|13:50||17/11/2016|07:30|1811||||
43|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4180|2016111801|17/11/2016|14:08|17/11/2016|21:10|PSA|01|SD10|03|||||||||||||PSA-01|722B-S-S1|17/11/2016|21:10|18/11/2016|07:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 09.|4|36|9||7|17/11/2016|14:08|17/11/2016|09:58|17/11/2016|09:58||17/11/2016|07:30|1811||||
44|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4180|2016111801|17/11/2016|14:08|17/11/2016|21:10|PSA|01|SD10|03|||||||||||||PSA-01|722B-S-S1|17/11/2016|21:10|18/11/2016|07:30||2|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|B    - 02.|4|4|1||7|17/11/2016|14:08|17/11/2016|09:58|17/11/2016|09:58||17/11/2016|07:30|1811||||
45|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4180|2016111801|17/11/2016|14:08|17/11/2016|21:10|PSA|01|SD10|03|||||||||||||PSA-01|722B-S-S1|17/11/2016|21:10|18/11/2016|07:30||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|C    - 09.|4|4|1||7|17/11/2016|14:08|17/11/2016|09:58|17/11/2016|09:58||17/11/2016|07:30|1811||||
46|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4180|2016111801|17/11/2016|14:08|17/11/2016|21:10|PSA|01|SD10|03|||||||||||||PSA-01|722B-S-S1|17/11/2016|21:10|18/11/2016|07:30||4|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1. - A08|4|4|1|||17/11/2016|14:08|17/11/2016|09:58|17/11/2016|09:58||17/11/2016|07:30|1811||||
47|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4386|2016111802|17/11/2016|19:45|18/11/2016|03:00|PPA1|08|CD16|02|||||||||||||PPA1-08|722F-P-P1|18/11/2016|03:00|18/11/2016|11:01||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|8|2||3|17/11/2016|19:45|17/11/2016|13:50|17/11/2016|13:50||17/11/2016|07:30|1811||||
48|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4386|2016111802|17/11/2016|19:45|18/11/2016|03:00|PPA1|08|CD16|02|||||||||||||PPA1-08|722F-P-P1|18/11/2016|03:00|18/11/2016|11:01||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|12|3||3|17/11/2016|19:45|17/11/2016|13:50|17/11/2016|13:50||17/11/2016|07:30|1811||||
49|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4386|2016111802|17/11/2016|19:45|18/11/2016|03:00|PPA1|08|CD16|02|||||||||||||PPA1-08|722F-P-P1|18/11/2016|03:00|18/11/2016|11:01||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1||3|17/11/2016|19:45|17/11/2016|13:50|17/11/2016|13:50||17/11/2016|07:30|1811||||
50|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4386|2016111802|17/11/2016|19:45|18/11/2016|03:00|PPA1|08|CD16|02|||||||||||||PPA1-08|722F-P-P1|18/11/2016|03:00|18/11/2016|11:01||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1||3|17/11/2016|19:45|17/11/2016|13:50|17/11/2016|13:50||17/11/2016|07:30|1811||||
51|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4386|2016111802|17/11/2016|19:45|18/11/2016|03:00|PPA1|08|CD16|02|||||||||||||PPA1-08|722F-P-P1|18/11/2016|03:00|18/11/2016|11:01||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1||3|17/11/2016|19:45|17/11/2016|13:50|17/11/2016|13:50||17/11/2016|07:30|1811||||
