49|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5794|2018011001|10/01/2018|02:07|10/01/2018|07:30|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|10/01/2018|07:30|10/01/2018|09:25||4|86100-0K101-00|RECEIVER ASSY  RADIO & NAVIGATION|U805|A5.SA- R10|4|4|1|||10/01/2018|02:07|09/01/2018|20:12|09/01/2018|20:12||09/01/2018|07:30|1001||||
50|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5794|2018011001|10/01/2018|02:07|10/01/2018|07:30|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|10/01/2018|07:30|10/01/2018|09:25||5|86100-0K143-00|RECEIVER ASSY  RADIO & NAVIGATION|U803|A5.SA- R10|4|4|1|||10/01/2018|02:07|09/01/2018|20:12|09/01/2018|20:12||09/01/2018|07:30|1001||||
51|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5794|2018011001|10/01/2018|02:07|10/01/2018|07:30|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|10/01/2018|07:30|10/01/2018|09:25||6|86100-0K213-00|RECEIVER ASSY  RADIO & NAVIGATION|U804|A5.SA- R10|4|4|1|||10/01/2018|02:07|09/01/2018|20:12|09/01/2018|20:12||09/01/2018|07:30|1001||||
52|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5794|2018011001|10/01/2018|02:07|10/01/2018|07:30|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|10/01/2018|07:30|10/01/2018|09:25||7|86120-0KA41-00|RECEIVER ASSY  RADIO|K049|A5.SA- R10|4|4|1|||10/01/2018|02:07|09/01/2018|20:12|09/01/2018|20:12||09/01/2018|07:30|1001||||
53|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5794|2018011001|10/01/2018|02:07|10/01/2018|07:30|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|10/01/2018|07:30|10/01/2018|09:25||8|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|A5.SA- R10|4|4|1|||10/01/2018|02:07|09/01/2018|20:12|09/01/2018|20:12||09/01/2018|07:30|1001||||
54|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5897|2018011001|09/01/2018|16:10|09/01/2018|22:40|PSA|01|SD11|06|||||||||||||PSA-01|722B-S-S1|09/01/2018|22:40|10/01/2018|07:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 05.|4|40|10|||09/01/2018|16:10|09/01/2018|12:00|09/01/2018|12:00||09/01/2018|07:30|1001||||
55|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5897|2018011001|09/01/2018|16:10|09/01/2018|22:40|PSA|01|SD11|06|||||||||||||PSA-01|722B-S-S1|09/01/2018|22:40|10/01/2018|07:30||2|86100-0K143-00|RECEIVER ASSY RADIO & NAVIGATION|E453|IP1  - A03|4|16|4||8|09/01/2018|16:10|09/01/2018|12:00|09/01/2018|12:00||09/01/2018|07:30|1001||||
56|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5897|2018011001|09/01/2018|16:10|09/01/2018|22:40|PSA|01|SD11|06|||||||||||||PSA-01|722B-S-S1|09/01/2018|22:40|10/01/2018|07:30||3|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1. - A08|4|4|1||8|09/01/2018|16:10|09/01/2018|12:00|09/01/2018|12:00||09/01/2018|07:30|1001||||
57|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5897|2018011001|09/01/2018|16:10|09/01/2018|22:40|PSA|01|SD11|06|||||||||||||PSA-01|722B-S-S1|09/01/2018|22:40|10/01/2018|07:30||4|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1. - A08|4|20|5||8|09/01/2018|16:10|09/01/2018|12:00|09/01/2018|12:00||09/01/2018|07:30|1001||||
58|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5897|2018011001|09/01/2018|16:10|09/01/2018|22:40|PSA|01|SD11|06|||||||||||||PSA-01|722B-S-S1|09/01/2018|22:40|10/01/2018|07:30||5|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1. - A08|4|8|2||8|09/01/2018|16:10|09/01/2018|12:00|09/01/2018|12:00||09/01/2018|07:30|1001||||
