INV201510281,GM,GGA2,27-Oct-15,FTTL,9:20,1,52033621,"6.5"" Tweeter",,153000-22800101,"Speaker 6.5"" Tweeter",GGA2,720,48
INV201510286,GM,GGA1,28-Oct-15,FTTL,9:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA1,360,72
INV201510286,GM,GGA1,28-Oct-15,FTTL,9:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA1,432,144
INV201510306,GM,GGA0,29-Oct-15,FTTL,9:20,1,52026926,G-13TH,,123001-32010101,RADIO ASM-AM/FM,GGA0,24,12
INV201510306,GM,GGA0,29-Oct-15,FTTL,9:20,2,52029707,G-12TH,,123001-3190C101,RADIO ASM-AM/FM,GGA0,12,6
INV201510306,GM,GGA0,29-Oct-15,FTTL,9:20,3,52031522,G-2TH,,123001-2750C101,RADIO ASM-AM/FM,GGA0,5,1
INV201510307,GM,GGA2,29-Oct-15,FTTL,9:20,1,52033621,"6.5"" Tweeter",,153000-22800101,"Speaker 6.5"" Tweeter",GGA2,1440,96
INV201510308,GM,GGA1,29-Oct-15,FTTL,9:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA1,240,48
INV201510308,GM,GGA1,29-Oct-15,FTTL,9:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA1,432,144
INV201510309,GM,GGA2,29-Oct-15,FTTL,9:20,1,98128501,NB-2TH,,151121-00300101,NETWORK BOX,GGA2,30,2
INV201510319,GM,GGA0,30-Oct-15,FTTL,9:20,1,52026924,G-18TH,,123001-4070C101,RADIO ASM-AM/FM,GGA0,48,24
INV201510320,GM,GGA1,30-Oct-15,FTTL,9:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA1,480,96
INV201510320,GM,GGA1,30-Oct-15,FTTL,9:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA1,648,216
