49|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8470|2019061706|17/06/2019|15:50|17/06/2019|20:35|PSA|17|PD02|03|||||||||||||PSA-17|722B-S-S1|17/06/2019|20:35|17/06/2019|22:43||2|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|17/06/2019|15:50|17/06/2019|11:40|17/06/2019|11:40||17/06/2019|07:30|1706||||
50|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8470|2019061706|17/06/2019|15:50|17/06/2019|20:35|PSA|17|PD02|03|||||||||||||PSA-17|722B-S-S1|17/06/2019|20:35|17/06/2019|22:43||3|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|17/06/2019|15:50|17/06/2019|11:40|17/06/2019|11:40||17/06/2019|07:30|1706||||
51|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8471|2019061707|17/06/2019|15:50|17/06/2019|20:35|PSA|20|PD02|03|||||||||||||PSA-20|722B-S-S1|17/06/2019|20:35|18/06/2019|02:00||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|20|5||F|17/06/2019|15:50|17/06/2019|11:40|17/06/2019|11:40||17/06/2019|07:30|1706||||
52|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8471|2019061707|17/06/2019|15:50|17/06/2019|20:35|PSA|20|PD02|03|||||||||||||PSA-20|722B-S-S1|17/06/2019|20:35|18/06/2019|02:00||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|17/06/2019|15:50|17/06/2019|11:40|17/06/2019|11:40||17/06/2019|07:30|1706||||
53|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8471|2019061707|17/06/2019|15:50|17/06/2019|20:35|PSA|20|PD02|03|||||||||||||PSA-20|722B-S-S1|17/06/2019|20:35|18/06/2019|02:00||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|17/06/2019|15:50|17/06/2019|11:40|17/06/2019|11:40||17/06/2019|07:30|1706||||
54|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8471|2019061707|17/06/2019|15:50|17/06/2019|20:35|PSA|20|PD02|03|||||||||||||PSA-20|722B-S-S1|17/06/2019|20:35|18/06/2019|02:00||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|17/06/2019|15:50|17/06/2019|11:40|17/06/2019|11:40||17/06/2019|07:30|1706||||
55|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8471|2019061707|17/06/2019|15:50|17/06/2019|20:35|PSA|20|PD02|03|||||||||||||PSA-20|722B-S-S1|17/06/2019|20:35|18/06/2019|02:00||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|17/06/2019|15:50|17/06/2019|11:40|17/06/2019|11:40||17/06/2019|07:30|1706||||
56|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8472|2019061708|17/06/2019|15:50|17/06/2019|20:35|PSA|23|PD02|03|||||||||||||PSA-23|722B-S-S1|17/06/2019|20:35|18/06/2019|04:28||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|32|8||F|17/06/2019|15:50|17/06/2019|11:40|17/06/2019|11:40||17/06/2019|07:30|1706||||
57|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8472|2019061708|17/06/2019|15:50|17/06/2019|20:35|PSA|23|PD02|03|||||||||||||PSA-23|722B-S-S1|17/06/2019|20:35|18/06/2019|04:28||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|17/06/2019|15:50|17/06/2019|11:40|17/06/2019|11:40||17/06/2019|07:30|1706||||
58|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8472|2019061708|17/06/2019|15:50|17/06/2019|20:35|PSA|23|PD02|03|||||||||||||PSA-23|722B-S-S1|17/06/2019|20:35|18/06/2019|04:28||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|17/06/2019|15:50|17/06/2019|11:40|17/06/2019|11:40||17/06/2019|07:30|1706||||
